Designator,Footprint,Quantity,Value,LCSC Part #
BARO1,BMP390-10LGA_2X2X0p75_BOS,1,BMP390,
"C1, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C32, C36, C37, C39, C40, C42, C43, C44, C47, C48, C49",0603,29,100nF,
"C10, C12",0603,2,10uF,
"C11, C31",0603,2,4.7uF,
"C13, C38, C45",0603,3,1uF,
"C2, C3",1210,2,22uF,
"C34, C35, C41",0603,3,2.2uF,
"C4, C51",0805,2,2.2uF,
C46,0805,1,10uF,
"C5, C6",0805,2,0.1uF,
"C50, C7, C9",CAP_6.3 X 7.7_PAN,3,100uF,
C8,0805,1,4.7nF,
D1,Nexperia_CFP3_SOD-123W,1,SD103AW-TP,
FB1,MPZ1005S121HT000,1,FerriteBead_Small,
FLASH1,W25N01GWZEIG,1,W25N01GWZEIG,
GPS1,CONN_532610001-SD_06Pin_1.25mm,1,Conn_01x06,
IMU1,BMI323_BOS,1,BMI323,
J1,XT60PW-M,1,XT60PW-M,
L1,IND_SRP1265A-6R8M_BRN,1,6.8uH,
"LED1, LED8",0603,2,G,
"LED3, LED7",0603,2,R,
LED4,0603,1,Y,
"LED5, LED6",0603,2,B,
"LM1, RM1",PinHeader_2x01_P2.54mm_Vertical,2,Conn_01x02,
"LS1, LS2, LS3, LS4, RS1, RS2, RS3, RS4, SERIAL1",PinHeader_1x03_P2.54mm_Vertical,9,Conn_01x03,
MAG1,MMC5983MA_MEM,1,MMC5983MA,
R1,RES_PE2512_YAG,1,0.01,
"R10, R9",0603,2,4.7K,
"R13, R14",0603,2,10K,
"R15, R16, R17, R18, R19",0603,5,330,
"R2, R20",RES_ERJ-T06J103V_0805,2,10k,
R3,0603,1,240,
R4,RES_ERJ-PB6B1962V_0805,1,19.6k,
R5,0805,1,6.8K,
R6,0805,1,1.3K,
R7,0603,1,560,
REG_1,MIC26903YJL-TR-MLF28_5X6_MCH,1,MIC26903YJL-TR,
REG_2,SON95P300X300X100-7N,1,LD39200PU33R,
RF1,CONN_532610471_SMD_4Pin_1.25mm,1,Conn_01x04,
SWD1,CONN_GRPB052VWQS-RC_OddEven_2x5Pins_1.27mm,1,Debug_10_1.27,
U1,STM32H747BIT6-LQFP-208,1,STM32H747BIT6,
U2,INA219AIDCNT-SOT65P280X145-8N,1,INA219AIDCNT,
